INFO:Training.base_trainer:Wandb set up. Run ID: pvknq1zf
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 0 | Train Loss: 486.36624146 | Val Loss: 419.79727173 | (Val P_bh MSE: 817.811218)
INFO:Training.base_trainer:Epoch 10 | Train Loss: 109.38984680 | Val Loss: 104.94535065 | (Val P_bh MSE: 112.851051)
INFO:Training.base_trainer:Epoch 20 | Train Loss: 80.10455322 | Val Loss: 77.52630615 | (Val P_bh MSE: 70.920616)
INFO:Training.base_trainer:Epoch 30 | Train Loss: 56.37210083 | Val Loss: 55.97972488 | (Val P_bh MSE: 21.159832)
INFO:Training.base_trainer:Epoch 40 | Train Loss: 50.52622223 | Val Loss: 50.57571411 | (Val P_bh MSE: 14.639453)
INFO:Training.base_trainer:Epoch 50 | Train Loss: 44.51385498 | Val Loss: 44.92257690 | (Val P_bh MSE: 11.692995)
INFO:Training.base_trainer:Epoch 60 | Train Loss: 40.65076065 | Val Loss: 40.98147964 | (Val P_bh MSE: 11.079478)
INFO:Training.base_trainer:Epoch 70 | Train Loss: 37.99673843 | Val Loss: 38.37225723 | (Val P_bh MSE: 10.982963)
INFO:Training.base_trainer:Epoch 80 | Train Loss: 36.03801727 | Val Loss: 36.41862488 | (Val P_bh MSE: 10.486922)
INFO:Training.base_trainer:Epoch 90 | Train Loss: 34.85588074 | Val Loss: 35.23188019 | (Val P_bh MSE: 10.210546)
INFO:Training.base_trainer:Epoch 100 | Train Loss: 34.09043121 | Val Loss: 34.44648743 | (Val P_bh MSE: 9.897296)
INFO:Training.base_trainer:Epoch 110 | Train Loss: 33.46248245 | Val Loss: 33.78683853 | (Val P_bh MSE: 9.531123)
INFO:Training.base_trainer:Epoch 120 | Train Loss: 32.85069656 | Val Loss: 33.15576172 | (Val P_bh MSE: 9.149852)
INFO:Training.base_trainer:Epoch 130 | Train Loss: 32.22615814 | Val Loss: 32.52066803 | (Val P_bh MSE: 8.782172)
INFO:Training.base_trainer:Epoch 140 | Train Loss: 31.59062386 | Val Loss: 31.87562752 | (Val P_bh MSE: 8.433583)
INFO:Training.base_trainer:Epoch 150 | Train Loss: 30.94203377 | Val Loss: 31.21696663 | (Val P_bh MSE: 8.099370)
INFO:Training.base_trainer:Epoch 160 | Train Loss: 30.27491760 | Val Loss: 30.53840065 | (Val P_bh MSE: 7.779049)
INFO:Training.base_trainer:Epoch 170 | Train Loss: 29.58429718 | Val Loss: 29.83475876 | (Val P_bh MSE: 7.467027)
INFO:Training.base_trainer:Epoch 180 | Train Loss: 28.86577988 | Val Loss: 29.10216331 | (Val P_bh MSE: 7.163347)
INFO:Training.base_trainer:Epoch 190 | Train Loss: 28.11452675 | Val Loss: 28.33578110 | (Val P_bh MSE: 6.866456)
INFO:Training.base_trainer:Epoch 200 | Train Loss: 27.32506561 | Val Loss: 27.53030968 | (Val P_bh MSE: 6.575003)
INFO:Training.base_trainer:Epoch 210 | Train Loss: 26.49143410 | Val Loss: 26.67950630 | (Val P_bh MSE: 6.288922)
INFO:Training.base_trainer:Epoch 220 | Train Loss: 25.60716248 | Val Loss: 25.77667046 | (Val P_bh MSE: 6.008352)
INFO:Training.base_trainer:Epoch 230 | Train Loss: 24.66539383 | Val Loss: 24.81478119 | (Val P_bh MSE: 5.734635)
INFO:Training.base_trainer:Epoch 240 | Train Loss: 23.65938759 | Val Loss: 23.78697014 | (Val P_bh MSE: 5.469927)
INFO:Training.base_trainer:Epoch 250 | Train Loss: 22.58336258 | Val Loss: 22.68743706 | (Val P_bh MSE: 5.217787)
INFO:Training.base_trainer:Epoch 260 | Train Loss: 21.43402672 | Val Loss: 21.51305008 | (Val P_bh MSE: 4.983510)
INFO:Training.base_trainer:Epoch 270 | Train Loss: 20.21292114 | Val Loss: 20.26578522 | (Val P_bh MSE: 4.774156)
INFO:Training.base_trainer:Epoch 280 | Train Loss: 18.92965317 | Val Loss: 18.95606995 | (Val P_bh MSE: 4.597543)
INFO:Training.base_trainer:Epoch 290 | Train Loss: 17.60555077 | Val Loss: 17.60658836 | (Val P_bh MSE: 4.459865)
INFO:Training.base_trainer:Epoch 300 | Train Loss: 16.27672195 | Val Loss: 16.25519753 | (Val P_bh MSE: 4.361792)
INFO:Training.base_trainer:Epoch 310 | Train Loss: 14.99421787 | Val Loss: 14.95489979 | (Val P_bh MSE: 4.294695)
INFO:Training.base_trainer:Epoch 320 | Train Loss: 13.81879330 | Val Loss: 13.76787186 | (Val P_bh MSE: 4.240542)
INFO:Training.base_trainer:Epoch 330 | Train Loss: 12.80817795 | Val Loss: 12.75194168 | (Val P_bh MSE: 4.178927)
INFO:Training.base_trainer:Epoch 340 | Train Loss: 11.99881649 | Val Loss: 11.94180965 | (Val P_bh MSE: 4.098933)
INFO:Training.base_trainer:Epoch 350 | Train Loss: 11.39034271 | Val Loss: 11.33410168 | (Val P_bh MSE: 4.006001)
INFO:Training.base_trainer:Epoch 360 | Train Loss: 10.94457054 | Val Loss: 10.88800812 | (Val P_bh MSE: 3.915841)
INFO:Training.base_trainer:Epoch 370 | Train Loss: 10.60301304 | Val Loss: 10.54416180 | (Val P_bh MSE: 3.841162)
INFO:Training.base_trainer:Epoch 380 | Train Loss: 10.31169510 | Val Loss: 10.24929619 | (Val P_bh MSE: 3.784745)
INFO:Training.base_trainer:Epoch 390 | Train Loss: 10.03664017 | Val Loss: 9.97053432 | (Val P_bh MSE: 3.742573)
INFO:Training.base_trainer:Epoch 400 | Train Loss: 9.76445198 | Val Loss: 9.69507217 | (Val P_bh MSE: 3.709658)
INFO:Training.base_trainer:Epoch 410 | Train Loss: 9.49465847 | Val Loss: 9.42245197 | (Val P_bh MSE: 3.682596)
INFO:Training.base_trainer:Epoch 420 | Train Loss: 9.23207569 | Val Loss: 9.15729237 | (Val P_bh MSE: 3.659188)
INFO:Training.base_trainer:Epoch 430 | Train Loss: 8.98231697 | Val Loss: 8.90507221 | (Val P_bh MSE: 3.637443)
INFO:Training.base_trainer:Epoch 440 | Train Loss: 8.74981022 | Val Loss: 8.67020035 | (Val P_bh MSE: 3.615175)
INFO:Training.base_trainer:Epoch 450 | Train Loss: 8.53706837 | Val Loss: 8.45522881 | (Val P_bh MSE: 3.590218)
INFO:Training.base_trainer:Epoch 460 | Train Loss: 8.34457970 | Val Loss: 8.26068878 | (Val P_bh MSE: 3.560870)
INFO:Training.base_trainer:Epoch 470 | Train Loss: 8.17114544 | Val Loss: 8.08541203 | (Val P_bh MSE: 3.526242)
INFO:Training.base_trainer:Epoch 480 | Train Loss: 8.01450062 | Val Loss: 7.92715883 | (Val P_bh MSE: 3.486356)
INFO:Training.base_trainer:Epoch 490 | Train Loss: 7.87198353 | Val Loss: 7.78328133 | (Val P_bh MSE: 3.441996)
INFO:Training.base_trainer:Epoch 500 | Train Loss: 7.74102163 | Val Loss: 7.65376663 | (Val P_bh MSE: 3.395370)
INFO:Training.base_trainer:Epoch 510 | Train Loss: 7.64321899 | Val Loss: 7.55517054 | (Val P_bh MSE: 3.355745)
INFO:Training.base_trainer:Epoch 520 | Train Loss: 7.55040646 | Val Loss: 7.46173334 | (Val P_bh MSE: 3.315475)
INFO:Training.base_trainer:Epoch 530 | Train Loss: 7.46159983 | Val Loss: 7.37246799 | (Val P_bh MSE: 3.275277)
INFO:Training.base_trainer:Epoch 540 | Train Loss: 7.37610245 | Val Loss: 7.28666925 | (Val P_bh MSE: 3.235622)
INFO:Training.base_trainer:Epoch 550 | Train Loss: 7.29336834 | Val Loss: 7.20378399 | (Val P_bh MSE: 3.196837)
INFO:Training.base_trainer:Epoch 560 | Train Loss: 7.21294403 | Val Loss: 7.12334824 | (Val P_bh MSE: 3.159127)
INFO:Training.base_trainer:Epoch 570 | Train Loss: 7.13445187 | Val Loss: 7.04497242 | (Val P_bh MSE: 3.122625)
INFO:Training.base_trainer:Epoch 580 | Train Loss: 7.05757189 | Val Loss: 6.96833229 | (Val P_bh MSE: 3.087396)
INFO:Training.base_trainer:Epoch 590 | Train Loss: 6.98204374 | Val Loss: 6.89315844 | (Val P_bh MSE: 3.053466)
INFO:Training.base_trainer:Epoch 600 | Train Loss: 6.90765667 | Val Loss: 6.81923532 | (Val P_bh MSE: 3.020822)
