code,phase,iteration,debug_corrected,Delta,accepted,rejected,rejected_reason,theta_k,phi_k,type
S0,restoration,0,,1,,,,0,,no-step-converged
S0,oil_maximization,0,,1,,,,4.12651771325454,-117.112857696731,init
S0,oil_maximization,0,,1.2,True,,,4.12651771325454,-117.112857696731,f-type
S0,oil_maximization,1,,1.44,True,,,0.657028644332789,-121.079319071551,theta-type
S0,oil_maximization,2,,1.728,True,,,0.105598899087558,-121.083412441885,f-type
S0,oil_maximization,3,True,1.728,,True,Filter rejection,0.233576513623483,-121.068465654537,
S0,oil_maximization,4,True,0.3456,,True,Filter rejection,0.233576513513739,-121.068465654555,
S0,oil_maximization,5,,0.082944,True,,,0.138160679486553,-121.085689360096,f-type
S0,oil_maximization,6,,0.082944,True,,,0.0448585845841613,-121.094810253637,theta-type
S0,oil_maximization,7,True,0.082944,,True,Filter rejection,0.0152991375452888,-121.094109068656,
S0,oil_maximization,8,,0.01990656,True,,,0.0100557026889138,-121.094740777551,f-type
S0,oil_maximization,9,,0.023887872,True,,,0.00273329724589737,-121.095597122557,theta-type
S0,oil_maximization,10,,0.023887872,True,,,2.6170186264504E-05,-121.095620449153,convergence
S0,restoration,0,,1,,,,0,,no-step-converged
S0,refinement,0,,1,,,,4.75896354226873,60.1684402624275,init
S0,refinement,0,,1.2,True,,,4.75896354226873,60.1684402624275,f-type
S0,refinement,1,,1.44,True,,,0.119748431745834,52.4316891913289,theta-type
S0,refinement,2,,1.728,True,,,0.00943895347961602,52.5822701855921,theta-type
S0,refinement,3,,2.0736,True,,,0.000437145925562894,52.6143095343542,theta-type
S0,refinement,4,,2.0736,True,,,2.04250456892121E-05,52.615647490191,convergence
S1,restoration,0,,1,True,,,0.998330733795541,,Accepted restoration step
S1,restoration,1,,1.05,,,,0,,no-step-converged
S1,oil_maximization,0,,1,,,,3.36670385319153,-111.021517498227,init
S1,oil_maximization,0,,1.2,True,,,3.36670385319153,-111.021517498227,f-type
S1,oil_maximization,1,True,1.2,,True,Filter rejection,2.46972110176703,-118.625999098978,
S1,oil_maximization,2,,0.288,True,,,1.32150096590679,-118.947794812767,f-type
S1,oil_maximization,3,,0.3456,True,,,0.39030447618703,-118.979527742553,f-type
S1,oil_maximization,4,True,0.3456,,True,Filter rejection,0.366464546260257,-118.964699628568,
S1,oil_maximization,5,,0.082944,True,,,0.258000145780635,-118.989142674658,f-type
S1,oil_maximization,6,,0.0995328,True,,,0.0445535633428553,-119.008383490112,theta-type
S1,oil_maximization,7,True,0.0995328,,True,Filter rejection,0.00245342903894673,-119.008422764869,
S1,oil_maximization,8,True,0.01990656,,True,Filter rejection,0.0024534286632885,-119.008422764902,
S1,oil_maximization,9,,0.0047775744,True,,,0.00149841255937571,-119.008497149919,f-type
S1,oil_maximization,10,,0.0047775744,True,,,0.000155220195431437,-119.008617038418,convergence
S1,restoration,0,,1,,,,1.40866890068662E-08,,no-step-converged
S1,refinement,0,,1,,,,4.76445649709141,65.5073491242886,init
S1,refinement,0,,1.2,True,,,4.76445649709141,65.5073491242886,f-type
S1,refinement,1,,1.44,True,,,0.278424386014726,42.4440881594359,f-type
S1,refinement,2,,1.728,True,,,0.004454853040316,42.2964244797367,theta-type
S1,refinement,3,,1.728,True,,,3.3920103348846E-05,42.3031615416504,convergence
S2,restoration,0,,1,True,,,19.9880546613302,,Accepted restoration step
S2,restoration,1,,1.05,,,,0,,no-step-converged
S2,oil_maximization,0,,1,,,,3.12909651736301,-87.6781715242642,init
S2,oil_maximization,0,,1.2,True,,,3.12909651736301,-87.6781715242642,f-type
S2,oil_maximization,1,,1.44,True,,,2.52632505035134,-113.122272215065,f-type
S2,oil_maximization,2,,1.728,True,,,0.201634780511354,-113.744100870359,theta-type
S2,oil_maximization,3,,2.0736,True,,,0.00732200264905651,-113.742563743672,theta-type
S2,oil_maximization,4,,2.48832,True,,,0.000371710758898392,-113.742070120721,theta-type
S2,oil_maximization,5,,2.48832,True,,,4.1088492209212E-05,-113.742036874708,convergence
