code,phase,iteration,debug_corrected,Delta,accepted,rejected,rejected_reason,theta_k,phi_k,type
S0,restoration,0,,1.0,,,,0.0,,no-step-converged
S0,oil_maximization,0,,1.0,,,,297.75841574086496,-117.1128576967313,init
S0,oil_maximization,0,,1.8,True,,,297.75841574086496,-117.1128576967313,theta-type
S0,oil_maximization,1,True,1.8,,True,Filter rejection,162.9784978566613,-81.54831441093444,
S0,oil_maximization,2,True,1.62,,True,Filter rejection,89.95873847931543,-102.13559396916304,
S0,oil_maximization,3,True,1.4580000000000002,,True,Filter rejection,52.25845831630176,-113.82023737274211,
S0,oil_maximization,4,True,1.3122000000000003,,True,Filter rejection,41.095199814081354,-118.49452527171873,
S0,oil_maximization,5,,2.1257640000000007,True,,,35.439763087447865,-118.62519524969359,f-type
S0,oil_maximization,6,,1.9131876000000005,True,,,38.04067470586925,-119.73825430393948,theta-type
S0,oil_maximization,7,True,1.9131876000000005,,True,Filter rejection,85.39460221677878,-117.99735806675443,
S0,oil_maximization,8,True,1.7218688400000006,,True,Filter rejection,78.84266075509386,-118.51256066191495,
S0,oil_maximization,9,True,1.5496819560000006,,True,Filter rejection,68.87102233902941,-118.8326103177422,
S0,oil_maximization,10,True,1.3947137604000006,,True,Filter rejection,60.09392249474663,-119.09261503287777,
S0,oil_maximization,11,True,1.2552423843600007,,True,Filter rejection,52.32608562677697,-119.27595785738689,
S0,oil_maximization,12,True,1.1297181459240007,,True,Filter rejection,45.467924156129605,-119.38906753047632,
S0,oil_maximization,13,True,1.0167463313316005,,True,Filter rejection,39.42730676098062,-119.43892243537687,
S0,oil_maximization,14,,1.6471290567571928,True,,,31.32598811986873,-114.06877608178179,f-type
S0,oil_maximization,15,True,1.6471290567571928,,True,Filter rejection,126.51971088603764,-88.65509331960659,
S0,oil_maximization,16,True,1.4824161510814735,,True,Filter rejection,74.08123101327189,-103.1412619094869,
S0,oil_maximization,17,True,1.3341745359733261,,True,Filter rejection,46.08698080289927,-110.6734558710718,
S0,oil_maximization,18,,1.0806813741383943,True,,,34.11921804685228,-119.43279236640994,theta-type
S0,oil_maximization,19,True,1.0806813741383943,,True,Filter rejection,95.64569356330895,-119.77664501643272,
S0,oil_maximization,20,,1.750703826104199,True,,,29.84869164368667,-114.88816533926548,f-type
S0,oil_maximization,21,True,1.750703826104199,,True,Filter rejection,159.2664348492514,-74.38219243896313,
S0,oil_maximization,22,True,1.575633443493779,,True,Simulation failure,87.62772812787786,-120.20008721836876,Simulation failure trial
S0,oil_maximization,23,True,1.4180700991444013,,True,Filter rejection,122.11579518701767,-91.19519841238234,
S0,oil_maximization,24,True,1.2762630892299611,,True,Filter rejection,73.07896648623257,-103.85768901976611,
S0,oil_maximization,25,True,1.148636780306965,,True,Filter rejection,46.00019150852679,-110.78270744551169,
S0,oil_maximization,26,,1.0337731022762686,True,,,87.62772812787786,-120.20008721836876,theta-type
S0,oil_maximization,27,True,1.0337731022762686,,True,Filter rejection,89.30609260628954,-119.95736424177448,
S0,oil_maximization,28,,1.6747124256875552,True,,,30.22591188422219,-114.73720494609907,f-type
S0,oil_maximization,29,True,1.6747124256875552,,True,Filter rejection,181.43579694086017,-69.6709306303959,
S0,oil_maximization,30,True,1.5072411831187997,,True,Filter rejection,152.20659781320157,-81.52006033263189,
S0,oil_maximization,31,True,1.3565170648069198,,True,Filter rejection,108.67559938854102,-94.93551103526852,
S0,oil_maximization,32,True,1.220865358326228,,True,Filter rejection,70.61742981242793,-104.94563833388804,
S0,oil_maximization,33,True,1.098778822493605,,True,Filter rejection,47.914939841639566,-110.79137966180909,
S0,oil_maximization,34,,0.9889009402442446,True,,,80.38190470120665,-120.26569984301986,theta-type
S0,oil_maximization,35,True,0.9889009402442446,,True,Filter rejection,150.16101759342567,-120.08042895170954,
S0,oil_maximization,36,True,0.8900108462198202,,True,Filter rejection,139.8071534841992,-120.20300085877193,
S0,oil_maximization,37,True,0.8010097615978382,,True,Filter rejection,122.84155520362403,-120.30522651395204,
S0,oil_maximization,38,True,0.7209087854380544,,True,Filter rejection,107.58325638643896,-120.3702192752089,
S0,oil_maximization,39,True,0.6488179068942489,,True,Filter rejection,93.90174601110971,-120.3966868787654,
S0,oil_maximization,40,True,0.583936116204824,,True,Filter rejection,81.67709037990493,-120.38426178830608,
S0,oil_maximization,41,,0.9459765082518149,True,,,33.61511859579269,-114.36632801610723,f-type
S0,oil_maximization,42,,0.9459765082518149,True,,,70.79653522804206,-120.333613404573,theta-type
S0,oil_maximization,43,,1.7027577148532669,True,,,18.590306683121952,-118.68003200499146,f-type
S0,oil_maximization,44,True,1.7027577148532669,,True,Filter rejection,157.32824438989624,-78.43063538011364,
S0,oil_maximization,45,True,1.5324819433679402,,True,Filter rejection,139.9265685276535,-89.7525639747346,
S0,oil_maximization,46,True,1.3792337490311462,,True,Filter rejection,112.00155603475466,-100.96219757747888,
S0,oil_maximization,47,True,1.2413103741280316,,True,Filter rejection,102.57957553793396,-105.09093341672153,
S0,oil_maximization,48,True,1.1171793367152285,,True,Filter rejection,61.41184138295447,-111.68937900800216,
S0,oil_maximization,49,True,1.0054614030437057,,True,Filter rejection,38.46970126562985,-115.39217806233844,
S0,oil_maximization,50,True,0.9049152627393351,,True,Filter rejection,25.217273544516353,-117.51915823191219,
S0,oil_maximization,51,,0.7329813628188614,True,,,17.664763619582093,-120.17274535884346,theta-type
S0,oil_maximization,52,True,0.7329813628188614,,True,Filter rejection,55.6509920441993,-120.18451723207096,
S0,oil_maximization,53,True,0.6596832265369753,,True,Filter rejection,48.725690823590334,-120.31095096236331,
S0,oil_maximization,54,,1.0686868269899,True,,,17.07503101251026,-118.79769284836962,f-type
S0,oil_maximization,55,True,1.0686868269899,,True,Filter rejection,53.57613265743965,-107.96603804499314,
S0,oil_maximization,56,True,0.96181814429091,,True,Filter rejection,34.20337945979148,-113.0168846662503,
S0,oil_maximization,57,True,0.8656363298618189,,True,Filter rejection,22.915285694623506,-115.9714394703351,
S0,oil_maximization,58,,0.7790726968756371,True,,,42.48637707494992,-120.41898757400867,theta-type
S0,oil_maximization,59,,1.4023308543761468,True,,,15.859106717201927,-117.78800450874814,f-type
S0,oil_maximization,60,True,1.4023308543761468,,True,Simulation failure,39.37436390560077,-120.41924651129014,Simulation failure trial
S0,oil_maximization,61,True,1.2620977689385322,,True,Filter rejection,128.67392235632104,-89.52913930638562,
S0,oil_maximization,62,True,1.135887992044679,,True,Filter rejection,77.72157397107316,-102.50095582093138,
S0,oil_maximization,63,True,1.022299192840211,,True,Filter rejection,49.516789276513975,-109.73706661212279,
S0,oil_maximization,64,True,0.92006927355619,,True,Filter rejection,32.93755152972384,-113.97077781482177,
S0,oil_maximization,65,True,0.828062346200571,,True,Filter rejection,22.579006805444042,-116.56817866464152,
S0,oil_maximization,66,,0.7452561115805139,True,,,39.37436390560077,-120.41924651129014,theta-type
S0,oil_maximization,67,True,0.7452561115805139,,True,Filter rejection,42.704444972965234,-120.40665220406012,
S0,oil_maximization,68,,1.2073149007604325,True,,,15.8196387327177,-118.21093245346748,f-type
S0,oil_maximization,69,True,1.2073149007604325,,True,Filter rejection,142.96162715147457,-90.88600902618367,
S0,oil_maximization,70,True,1.0865834106843892,,True,Filter rejection,133.91865321575452,-93.38610000304023,
S0,oil_maximization,71,True,0.9779250696159504,,True,Filter rejection,86.60527622146691,-104.36122827951357,
S0,oil_maximization,72,True,0.8801325626543554,,True,Filter rejection,52.127494940280336,-111.38983716042908,
S0,oil_maximization,73,True,0.7921193063889198,,True,Filter rejection,33.12959568916801,-115.24858691956237,
S0,oil_maximization,74,True,0.7129073757500278,,True,Filter rejection,21.891828162049187,-117.49618676698066,
S0,oil_maximization,75,,0.641616638175025,True,,,36.936294962929495,-120.59471630557829,theta-type
S0,oil_maximization,76,True,0.641616638175025,,True,Filter rejection,41.34578479917875,-120.58827065975721,
S0,oil_maximization,77,,1.0394189538435408,True,,,14.867662426798123,-118.86243032761858,f-type
S0,oil_maximization,78,True,1.0394189538435408,,True,Filter rejection,137.09826178563318,-92.21653158322542,
S0,oil_maximization,79,True,0.9354770584591867,,True,Filter rejection,106.44520462727215,-100.5683501933919,
S0,oil_maximization,80,True,0.8419293526132681,,True,Filter rejection,66.40670754709782,-108.90731806471805,
S0,oil_maximization,81,True,0.7577364173519413,,True,Filter rejection,40.177606828501155,-113.90163263339846,
S0,oil_maximization,82,True,0.6819627756167472,,True,Filter rejection,25.726332150121898,-116.68354682070799,
S0,oil_maximization,83,,0.6137664980550726,True,,,35.782754481578976,-120.73376967860966,theta-type
S0,oil_maximization,84,True,0.6137664980550726,,True,Filter rejection,49.08592484933284,-120.71220837683151,
S0,oil_maximization,85,True,0.5523898482495653,,True,Filter rejection,42.51884633340903,-120.83437407112652,
S0,oil_maximization,86,True,0.49715086342460874,,True,Filter rejection,36.68033947478699,-120.92460514170139,
S0,oil_maximization,87,,0.8053843987478662,True,,,17.127682782877816,-118.33196123153058,f-type
S0,oil_maximization,88,True,0.8053843987478662,,True,Filter rejection,88.61455794361683,-106.05459823571525,
S0,oil_maximization,89,True,0.7248459588730796,,True,Filter rejection,87.87217060278155,-107.49292000703355,
S0,oil_maximization,90,True,0.6523613629857716,,True,Filter rejection,68.10897889877441,-110.9556406493349,
S0,oil_maximization,91,True,0.5871252266871945,,True,Filter rejection,41.05817905637593,-115.02688097843603,
S0,oil_maximization,92,True,0.5284127040184751,,True,Filter rejection,26.2462146958353,-117.2727339603892,
S0,oil_maximization,93,True,0.47557143361662757,,True,Filter rejection,17.518381979228806,-118.60196485799716,
S0,oil_maximization,94,,0.42801429025496485,True,,,31.51735208488804,-120.98264895631526,theta-type
S0,oil_maximization,95,True,0.42801429025496485,,True,Filter rejection,37.37780045127904,-120.8387254292295,
S0,oil_maximization,96,True,0.38521286122946835,,True,Filter rejection,32.32576652534037,-120.89774995080538,
S0,oil_maximization,97,,0.6240448351917388,True,,,12.06424847950994,-119.43276451978765,f-type
S0,oil_maximization,98,True,0.6240448351917388,,True,Filter rejection,18.64083463594377,-117.97333981178377,
S0,oil_maximization,99,,0.561640351672565,True,,,27.839093432718403,-120.94085648285764,theta-type
S0,oil_maximization,100,True,0.561640351672565,,True,Filter rejection,49.581778342025466,-120.45390556957966,
S0,oil_maximization,101,True,0.5054763165053086,,True,Filter rejection,43.2534505525737,-120.51224636916439,
S0,oil_maximization,102,True,0.4549286848547777,,True,Filter rejection,37.57184993877423,-120.5599202083748,
S0,oil_maximization,103,True,0.40943581636929993,,True,Filter rejection,32.49763799734605,-120.59479217941899,
S0,oil_maximization,104,True,0.36849223473236997,,True,Filter rejection,27.99107174349461,-120.61548191667728,
S0,oil_maximization,105,,0.5969574202664394,True,,,13.552344265989358,-118.87603972952675,f-type
S0,oil_maximization,106,,0.5969574202664394,True,,,24.011382397247292,-120.62140311705419,theta-type
S0,oil_maximization,107,,1.0745233564795909,True,,,9.559732778120878,-119.88491561285383,f-type
S0,oil_maximization,108,True,1.0745233564795909,,True,Filter rejection,105.46121622844976,-102.36206293420693,
S0,oil_maximization,109,True,0.9670710208316318,,True,Filter rejection,67.31622812169753,-109.48424300768184,
S0,oil_maximization,110,True,0.8703639187484686,,True,Filter rejection,44.36505688451527,-113.77031123203437,
S0,oil_maximization,111,True,0.7833275268736218,,True,Filter rejection,30.32055461314103,-116.37798588053651,
S0,oil_maximization,112,True,0.7049947741862597,,True,Filter rejection,21.291517751979146,-118.0226491206546,
S0,oil_maximization,113,,0.5710457670908704,True,,,17.663000481171007,-120.53895146541836,theta-type
S0,oil_maximization,114,True,0.5710457670908704,,True,Filter rejection,46.212117551770596,-120.6541655386403,
S0,oil_maximization,115,True,0.5139411903817834,,True,Filter rejection,40.23321313423384,-120.73243803057252,
S0,oil_maximization,116,True,0.4625470713436051,,True,Filter rejection,34.87933688393882,-120.79342530368034,
