case_code,optimal_oil,gas_non_opt,phase_1_oil,phase_1_gas_check,phase_1_oil_check,phase_2_gas,phase_2_oil_check,phase_2_gas_check,Reduction oil (%),Reduction gas (%),Reduction gas bmk (%),n_obj1,n_obj2
S0,121.09562182397,60.1736555838068,121.095620449153,60.1684402624275,121.095620449153,52.615647490191,120.974521688284,52.615647490191,0.100002593339177,12.5527481505165,12.5603273065061,13,7
S1,119.008655809189,58.3723080535725,119.008617038418,65.5073491242886,119.008617038418,42.3031615416504,118.889605308875,42.3031615416504,0.100002615361461,35.4222661927784,27.5287153236673,14,6
S2,113.74204245836,50.2073824228705,113.742036874708,52.1636446862348,113.742036874708,32.7368762340214,113.628301310994,32.7368762340214,0.0999943089104893,37.241969132076,34.7966879486051,9,6
S3,104.96574376822,49.175931148856,104.965747936503,50.0949983840172,104.965747936503,25.301551639911,104.860800403099,25.301551639911,0.099982647165886,49.4928586563574,48.5489119396173,7,8
S4,83.206857095749,35.4246144482712,104.875097232179,39.2819205719144,104.875097232179,25.0940792631626,104.77022583085,25.0940792631626,0.0999964759004213,36.1179929651804,29.1620257439745,11,6
S5,83.2068570962174,35.4240845604383,104.875094417689,39.9536941198373,104.875094417689,25.0940071225527,104.770220267756,25.0940071225527,0.0999990994193789,37.1922730166436,29.161169769288,8,6
S6,73.8790657292152,29.8303660769182,104.590826248386,38.7088872593935,104.590826248386,28.372205746426,104.486235497735,28.372205746426,0.09999992772044,26.7036389956136,4.88817444188355,8,7
S7,69.9399575922918,35.9521962886264,69.9399573023108,36.7759649539971,69.9399573023108,12.5302553266376,69.870019698052,12.5302553266376,0.0999966356234006,65.9281399079218,65.1474551761901,15,7
S8,69.9399575925197,32.1658326698457,69.9399590112135,33.2023799152395,69.9399590112135,12.5302644494164,69.8700211909681,12.5302644494164,0.0999969419973157,62.260944903937,61.04479999623,8,10
S9,69.9399575922962,32.4883887939643,69.9399483739228,31.3868006464546,69.9399483739228,12.5302075025967,69.870011743366,12.5302075025967,0.0999952561916429,60.0780989316536,61.4317361748497,21,9
