case_code,optimal_oil,gas_non_opt,phase_1_oil,phase_1_gas_check,phase_1_oil_check,phase_2_gas,phase_2_oil_check,phase_2_gas_check,Reduction oil (%),Reduction gas (%),Reduction gas bmk (%),n_obj1,n_obj2
S0,121.09562182396992,60.17365558380675,121.09560800442958,60.21254952620188,121.09560800442958,52.615278863072504,120.97450908627336,52.615278863072504,0.10000273350276867,12.617420658833545,12.560939911997416,312,7
S1,119.00865580918888,58.372308053572475,119.0086376562697,64.3320463138742,119.0086376562697,42.30359276076728,118.88962326773348,42.30359276076728,0.10000483232146529,34.24180453646808,27.527976584475255,300,6
S2,113.74204245836358,50.20811517516877,113.74202154830719,51.99916821608139,113.74202154830719,32.736525290216015,113.62828619091275,32.736525290216015,0.09999414099224335,37.044136640455264,34.79833852355727,116,7
S3,104.96574376825944,49.17540217362521,104.9657654869144,50.215181636070255,104.9657654869144,25.302035661003668,104.86081839571322,25.302035661003668,0.09998220916539458,49.612776780580504,48.54737421024248,7,10
S4,83.20685709575982,35.424025416984385,104.87509326874033,39.95407443743359,104.87509326874033,25.09397519866528,104.77021911356194,25.09397519866528,0.09999910551655722,37.19295077661881,29.161141617085296,14,6
S5,83.20685709564545,35.42506917985417,104.87508660521581,39.95476948695763,104.87508660521581,25.09379000819502,104.7702124394542,25.09379000819502,0.09999912196153593,37.19450686260036,29.16375157718656,9,6
S6,73.8790657292305,29.829837990271987,104.59082633095389,38.704617073038406,104.59082633095389,28.37220694059133,104.48623558230219,28.37220694059133,0.099999925730343,26.695549300873,4.886486645204091,8,8
S7,69.93995759229178,35.80714613356193,69.93995417355421,37.87950950678628,69.93995417355421,12.530237128973216,69.87001420938287,12.530237128973216,0.10000001429480987,66.92080417058102,65.00632280987995,9,14
S8,68.09570745678968,30.15496421884218,69.93996415490626,31.79312705809136,69.93996415490626,12.530293752345875,69.87002770209511,12.530293752345875,0.09999497948877112,60.5880424110188,58.44699512355454,8,12
S9,33.528282025145415,22.43669312517364,69.93995813395635,32.780193411634315,69.93995813395635,12.530258962901797,69.87001837731907,12.530258962901797,0.09999971190048917,61.77490838582249,44.15282638579644,46,8
