case_code,optimal_oil,gas_non_opt,phase_1_oil,phase_1_gas_check,phase_1_oil_check,phase_2_gas,phase_2_oil_check,phase_2_gas_check,Reduction oil (%),Reduction gas (%),Reduction gas bmk (%),n_obj1,n_obj2
S0,121.09562182396992,60.17365558380675,121.09561532125282,60.15979377486745,121.09561532125282,52.615216762404984,120.97446505968855,52.615216762404984,0.10004512652490583,12.540895736272152,12.561043114415348,541,218
S1,119.00865580918888,58.372308053572475,119.0086557938306,64.10595534598355,119.0086557938306,42.30359019115189,118.88960869319419,42.30359019115189,0.10003230424066034,34.0098904027918,27.527980986588986,442,337
S2,113.74204245832632,50.207063673479084,113.74203258932033,47.69095822242224,113.74203258932033,32.73650110560254,113.62824158113065,32.73650110560254,0.1000430584887968,31.357007018132744,34.79702115522249,376,258
S3,104.96574376821957,49.17975711718753,104.96570878956169,47.93374225993219,104.96570878956169,25.3002553592477,104.8606950458927,25.3002553592477,0.10004576244945218,47.21827638232165,48.55555040875614,381,441
S4,83.2068570957595,35.42463148277345,103.61325071827997,37.24589542590801,103.61325071827997,20.043628686945784,103.50963222347096,20.043628686945784,0.1000050612163017,46.185671044429874,43.4189493355979,349,179
S5,83.20685709576001,35.424670143614286,103.61324920782718,36.70801542289471,103.61324920782718,20.042259098894895,103.50963575716587,20.042259098894895,0.10000019442830688,45.4008644488185,43.422877283988626,389,234
S6,73.87906572950745,29.82957720670174,95.16307682113633,37.18684904144691,95.16307682113633,19.1521821618297,95.06790979552675,19.1521821618297,0.10000414949640213,48.497432141982564,35.79465766773649,13,211
S7,69.93995759229158,36.02664916749279,67.07030667977038,36.7185276454365,67.07030667977038,10.497956845576194,67.00323601141963,10.497956845576194,0.10000053924158481,71.4096465224664,70.86057935399496,24,7
S8,69.93995759229168,32.21855288858352,69.93993267673903,32.653875750038324,69.93993267673903,12.530124497131457,69.86998795592802,12.530124497131457,0.10000684606645827,61.62745092482091,61.10897798401291,39,131
S9,69.93995759244109,32.20051178911287,67.07030617442979,32.51237437471989,67.07030617442979,10.497956728067088,67.00323562743905,10.497956728067088,0.10000035905055604,67.7108887616962,67.39816808869327,29,12
