INFO:Training.base_trainer:Wandb set up. Run ID: ryhsy9rb
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 0 | Train Loss: 322.46322632 | Val Loss: 278.49420166 | (Val P_bh MSE: 522.886414)
INFO:Training.base_trainer:Epoch 10 | Train Loss: 100.37695312 | Val Loss: 100.10845947 | (Val P_bh MSE: 90.567635)
INFO:Training.base_trainer:Epoch 20 | Train Loss: 66.08959961 | Val Loss: 64.41020966 | (Val P_bh MSE: 26.922462)
INFO:Training.base_trainer:Epoch 30 | Train Loss: 55.46070480 | Val Loss: 55.84436417 | (Val P_bh MSE: 15.541026)
INFO:Training.base_trainer:Epoch 40 | Train Loss: 48.21366501 | Val Loss: 48.77231979 | (Val P_bh MSE: 10.610148)
INFO:Training.base_trainer:Epoch 50 | Train Loss: 42.55302429 | Val Loss: 42.81313324 | (Val P_bh MSE: 9.384501)
INFO:Training.base_trainer:Epoch 60 | Train Loss: 38.40884018 | Val Loss: 38.65803909 | (Val P_bh MSE: 9.309611)
INFO:Training.base_trainer:Epoch 70 | Train Loss: 35.49488068 | Val Loss: 35.83802414 | (Val P_bh MSE: 9.092296)
INFO:Training.base_trainer:Epoch 80 | Train Loss: 33.89081573 | Val Loss: 34.28902435 | (Val P_bh MSE: 8.807930)
INFO:Training.base_trainer:Epoch 90 | Train Loss: 32.88275528 | Val Loss: 33.26161957 | (Val P_bh MSE: 8.496194)
INFO:Training.base_trainer:Epoch 100 | Train Loss: 31.95536041 | Val Loss: 32.30490875 | (Val P_bh MSE: 8.059765)
INFO:Training.base_trainer:Epoch 110 | Train Loss: 30.99677277 | Val Loss: 31.31617928 | (Val P_bh MSE: 7.557761)
INFO:Training.base_trainer:Epoch 120 | Train Loss: 30.02066994 | Val Loss: 30.31654167 | (Val P_bh MSE: 7.090266)
INFO:Training.base_trainer:Epoch 130 | Train Loss: 29.00334930 | Val Loss: 29.27526474 | (Val P_bh MSE: 6.669392)
INFO:Training.base_trainer:Epoch 140 | Train Loss: 27.92495346 | Val Loss: 28.17577744 | (Val P_bh MSE: 6.287708)
INFO:Training.base_trainer:Epoch 150 | Train Loss: 26.77904892 | Val Loss: 27.00832558 | (Val P_bh MSE: 5.929032)
INFO:Training.base_trainer:Epoch 160 | Train Loss: 25.55853081 | Val Loss: 25.76309776 | (Val P_bh MSE: 5.586779)
INFO:Training.base_trainer:Epoch 170 | Train Loss: 24.25527000 | Val Loss: 24.43196297 | (Val P_bh MSE: 5.263845)
INFO:Training.base_trainer:Epoch 180 | Train Loss: 22.86324120 | Val Loss: 23.00961113 | (Val P_bh MSE: 4.968196)
INFO:Training.base_trainer:Epoch 190 | Train Loss: 21.38052177 | Val Loss: 21.49460793 | (Val P_bh MSE: 4.705521)
INFO:Training.base_trainer:Epoch 200 | Train Loss: 19.81333923 | Val Loss: 19.89438820 | (Val P_bh MSE: 4.479631)
INFO:Training.base_trainer:Epoch 210 | Train Loss: 18.18287849 | Val Loss: 18.23198891 | (Val P_bh MSE: 4.291216)
INFO:Training.base_trainer:Epoch 220 | Train Loss: 16.53368759 | Val Loss: 16.55505180 | (Val P_bh MSE: 4.137672)
INFO:Training.base_trainer:Epoch 230 | Train Loss: 14.94106865 | Val Loss: 14.94284153 | (Val P_bh MSE: 4.010465)
INFO:Training.base_trainer:Epoch 240 | Train Loss: 13.50949287 | Val Loss: 13.50319767 | (Val P_bh MSE: 3.896915)
INFO:Training.base_trainer:Epoch 250 | Train Loss: 12.34920120 | Val Loss: 12.34628105 | (Val P_bh MSE: 3.787802)
INFO:Training.base_trainer:Epoch 260 | Train Loss: 11.52564335 | Val Loss: 11.53187943 | (Val P_bh MSE: 3.684433)
INFO:Training.base_trainer:Epoch 270 | Train Loss: 11.01165676 | Val Loss: 11.02432728 | (Val P_bh MSE: 3.593780)
INFO:Training.base_trainer:Epoch 280 | Train Loss: 10.69924355 | Val Loss: 10.71145630 | (Val P_bh MSE: 3.517386)
INFO:Training.base_trainer:Epoch 290 | Train Loss: 10.47311592 | Val Loss: 10.48049831 | (Val P_bh MSE: 3.450684)
INFO:Training.base_trainer:Epoch 300 | Train Loss: 10.26805210 | Val Loss: 10.27030849 | (Val P_bh MSE: 3.389932)
INFO:Training.base_trainer:Epoch 310 | Train Loss: 10.06558704 | Val Loss: 10.06387997 | (Val P_bh MSE: 3.334189)
INFO:Training.base_trainer:Epoch 320 | Train Loss: 9.86544418 | Val Loss: 9.86034584 | (Val P_bh MSE: 3.283244)
INFO:Training.base_trainer:Epoch 330 | Train Loss: 9.66880417 | Val Loss: 9.66008759 | (Val P_bh MSE: 3.236323)
INFO:Training.base_trainer:Epoch 340 | Train Loss: 9.47537041 | Val Loss: 9.46253967 | (Val P_bh MSE: 3.192194)
INFO:Training.base_trainer:Epoch 350 | Train Loss: 9.28463840 | Val Loss: 9.26729965 | (Val P_bh MSE: 3.149595)
INFO:Training.base_trainer:Epoch 360 | Train Loss: 9.09669590 | Val Loss: 9.07464504 | (Val P_bh MSE: 3.107504)
INFO:Training.base_trainer:Epoch 370 | Train Loss: 8.91226006 | Val Loss: 8.88544178 | (Val P_bh MSE: 3.065233)
INFO:Training.base_trainer:Epoch 380 | Train Loss: 8.73252392 | Val Loss: 8.70096207 | (Val P_bh MSE: 3.022409)
INFO:Training.base_trainer:Epoch 390 | Train Loss: 8.55893707 | Val Loss: 8.52270317 | (Val P_bh MSE: 2.978918)
INFO:Training.base_trainer:Epoch 400 | Train Loss: 8.39300442 | Val Loss: 8.35220146 | (Val P_bh MSE: 2.934852)
INFO:Training.base_trainer:Epoch 410 | Train Loss: 8.23606682 | Val Loss: 8.19083118 | (Val P_bh MSE: 2.890429)
INFO:Training.base_trainer:Epoch 420 | Train Loss: 8.08911800 | Val Loss: 8.03961563 | (Val P_bh MSE: 2.845946)
INFO:Training.base_trainer:Epoch 430 | Train Loss: 7.95268011 | Val Loss: 7.89911556 | (Val P_bh MSE: 2.801732)
INFO:Training.base_trainer:Epoch 440 | Train Loss: 7.82674837 | Val Loss: 7.76936340 | (Val P_bh MSE: 2.758130)
INFO:Training.base_trainer:Epoch 450 | Train Loss: 7.71083021 | Val Loss: 7.64990044 | (Val P_bh MSE: 2.715473)
INFO:Training.base_trainer:Epoch 460 | Train Loss: 7.60402155 | Val Loss: 7.53985596 | (Val P_bh MSE: 2.674069)
INFO:Training.base_trainer:Epoch 470 | Train Loss: 7.50513744 | Val Loss: 7.43806934 | (Val P_bh MSE: 2.634175)
INFO:Training.base_trainer:Epoch 480 | Train Loss: 7.41284418 | Val Loss: 7.34322834 | (Val P_bh MSE: 2.595990)
INFO:Training.base_trainer:Epoch 490 | Train Loss: 7.32577991 | Val Loss: 7.25398207 | (Val P_bh MSE: 2.559635)
INFO:Training.base_trainer:Epoch 500 | Train Loss: 7.24265337 | Val Loss: 7.17070103 | (Val P_bh MSE: 2.525831)
INFO:Training.base_trainer:Epoch 510 | Train Loss: 7.17819977 | Val Loss: 7.10502815 | (Val P_bh MSE: 2.499606)
INFO:Training.base_trainer:Epoch 520 | Train Loss: 7.11487007 | Val Loss: 7.04070425 | (Val P_bh MSE: 2.474521)
INFO:Training.base_trainer:Epoch 530 | Train Loss: 7.05212831 | Val Loss: 6.97717714 | (Val P_bh MSE: 2.450502)
INFO:Training.base_trainer:Epoch 540 | Train Loss: 6.98956776 | Val Loss: 6.91401958 | (Val P_bh MSE: 2.427476)
INFO:Training.base_trainer:Epoch 550 | Train Loss: 6.92685938 | Val Loss: 6.85088634 | (Val P_bh MSE: 2.405363)
INFO:Training.base_trainer:Epoch 560 | Train Loss: 6.86372852 | Val Loss: 6.78748035 | (Val P_bh MSE: 2.384093)
INFO:Training.base_trainer:Epoch 570 | Train Loss: 6.79994202 | Val Loss: 6.72355318 | (Val P_bh MSE: 2.363599)
INFO:Training.base_trainer:Epoch 580 | Train Loss: 6.73530006 | Val Loss: 6.65889072 | (Val P_bh MSE: 2.343814)
INFO:Training.base_trainer:Epoch 590 | Train Loss: 6.66963816 | Val Loss: 6.59331369 | (Val P_bh MSE: 2.324680)
INFO:Training.base_trainer:Epoch 600 | Train Loss: 6.60281897 | Val Loss: 6.52667046 | (Val P_bh MSE: 2.306146)
