INFO:Training.base_trainer:Wandb set up. Run ID: dilgy1mu
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 0 | Train Loss: 362.70065308 | Val Loss: 262.20788574 | (Val P_bh MSE: 304.461853)
INFO:Training.base_trainer:Epoch 10 | Train Loss: 79.40857697 | Val Loss: 71.00522614 | (Val P_bh MSE: 28.690363)
INFO:Training.base_trainer:Epoch 20 | Train Loss: 53.23260880 | Val Loss: 54.18794250 | (Val P_bh MSE: 12.572356)
INFO:Training.base_trainer:Epoch 30 | Train Loss: 41.75252914 | Val Loss: 42.49003983 | (Val P_bh MSE: 8.514572)
INFO:Training.base_trainer:Epoch 40 | Train Loss: 37.03678513 | Val Loss: 37.59040833 | (Val P_bh MSE: 7.329991)
INFO:Training.base_trainer:Epoch 50 | Train Loss: 34.45734406 | Val Loss: 34.82892227 | (Val P_bh MSE: 6.652214)
INFO:Training.base_trainer:Epoch 60 | Train Loss: 32.96640778 | Val Loss: 33.26412582 | (Val P_bh MSE: 6.377491)
INFO:Training.base_trainer:Epoch 70 | Train Loss: 32.07244492 | Val Loss: 32.36173248 | (Val P_bh MSE: 5.892855)
INFO:Training.base_trainer:Epoch 80 | Train Loss: 31.15623665 | Val Loss: 31.42443085 | (Val P_bh MSE: 5.559200)
INFO:Training.base_trainer:Epoch 90 | Train Loss: 30.19207001 | Val Loss: 30.46453285 | (Val P_bh MSE: 5.255300)
INFO:Training.base_trainer:Epoch 100 | Train Loss: 29.20522690 | Val Loss: 29.46215630 | (Val P_bh MSE: 4.973107)
INFO:Training.base_trainer:Epoch 110 | Train Loss: 28.15111351 | Val Loss: 28.38274002 | (Val P_bh MSE: 4.709860)
INFO:Training.base_trainer:Epoch 120 | Train Loss: 27.02043915 | Val Loss: 27.22029305 | (Val P_bh MSE: 4.493317)
INFO:Training.base_trainer:Epoch 130 | Train Loss: 25.79273796 | Val Loss: 25.95917320 | (Val P_bh MSE: 4.322011)
INFO:Training.base_trainer:Epoch 140 | Train Loss: 24.45064354 | Val Loss: 24.58069611 | (Val P_bh MSE: 4.193034)
INFO:Training.base_trainer:Epoch 150 | Train Loss: 22.97671700 | Val Loss: 23.06685638 | (Val P_bh MSE: 4.114360)
INFO:Training.base_trainer:Epoch 160 | Train Loss: 21.35730171 | Val Loss: 21.40546417 | (Val P_bh MSE: 4.094726)
INFO:Training.base_trainer:Epoch 170 | Train Loss: 19.59038925 | Val Loss: 19.59476662 | (Val P_bh MSE: 4.126301)
INFO:Training.base_trainer:Epoch 180 | Train Loss: 17.69751358 | Val Loss: 17.65973663 | (Val P_bh MSE: 4.180910)
INFO:Training.base_trainer:Epoch 190 | Train Loss: 15.74360466 | Val Loss: 15.67224979 | (Val P_bh MSE: 4.197838)
INFO:Training.base_trainer:Epoch 200 | Train Loss: 13.86735535 | Val Loss: 13.78104877 | (Val P_bh MSE: 4.106491)
INFO:Training.base_trainer:Epoch 210 | Train Loss: 12.29595947 | Val Loss: 12.22180557 | (Val P_bh MSE: 3.905995)
INFO:Training.base_trainer:Epoch 220 | Train Loss: 11.25143528 | Val Loss: 11.20650578 | (Val P_bh MSE: 3.712687)
INFO:Training.base_trainer:Epoch 230 | Train Loss: 10.71926117 | Val Loss: 10.69067478 | (Val P_bh MSE: 3.630764)
INFO:Training.base_trainer:Epoch 240 | Train Loss: 10.41866779 | Val Loss: 10.38400745 | (Val P_bh MSE: 3.624779)
INFO:Training.base_trainer:Epoch 250 | Train Loss: 10.12906837 | Val Loss: 10.08420372 | (Val P_bh MSE: 3.635621)
INFO:Training.base_trainer:Epoch 260 | Train Loss: 9.81918335 | Val Loss: 9.76815796 | (Val P_bh MSE: 3.653184)
INFO:Training.base_trainer:Epoch 270 | Train Loss: 9.50650787 | Val Loss: 9.44947433 | (Val P_bh MSE: 3.669763)
INFO:Training.base_trainer:Epoch 280 | Train Loss: 9.19142342 | Val Loss: 9.12604809 | (Val P_bh MSE: 3.669675)
INFO:Training.base_trainer:Epoch 290 | Train Loss: 8.87065411 | Val Loss: 8.79515266 | (Val P_bh MSE: 3.640279)
INFO:Training.base_trainer:Epoch 300 | Train Loss: 8.54655457 | Val Loss: 8.46029949 | (Val P_bh MSE: 3.576016)
INFO:Training.base_trainer:Epoch 310 | Train Loss: 8.22525024 | Val Loss: 8.12844372 | (Val P_bh MSE: 3.478059)
INFO:Training.base_trainer:Epoch 320 | Train Loss: 7.91444063 | Val Loss: 7.80787086 | (Val P_bh MSE: 3.353625)
INFO:Training.base_trainer:Epoch 330 | Train Loss: 7.62218857 | Val Loss: 7.50708437 | (Val P_bh MSE: 3.214954)
INFO:Training.base_trainer:Epoch 340 | Train Loss: 7.35526991 | Val Loss: 7.23321104 | (Val P_bh MSE: 3.076581)
INFO:Training.base_trainer:Epoch 350 | Train Loss: 7.11744022 | Val Loss: 6.99021387 | (Val P_bh MSE: 2.950997)
INFO:Training.base_trainer:Epoch 360 | Train Loss: 6.90845346 | Val Loss: 6.77789927 | (Val P_bh MSE: 2.845038)
INFO:Training.base_trainer:Epoch 370 | Train Loss: 6.72456980 | Val Loss: 6.59246206 | (Val P_bh MSE: 2.759191)
INFO:Training.base_trainer:Epoch 380 | Train Loss: 6.56037188 | Val Loss: 6.42834234 | (Val P_bh MSE: 2.689713)
INFO:Training.base_trainer:Epoch 390 | Train Loss: 6.41082001 | Val Loss: 6.28029156 | (Val P_bh MSE: 2.631658)
INFO:Training.base_trainer:Epoch 400 | Train Loss: 6.27242088 | Val Loss: 6.14453077 | (Val P_bh MSE: 2.580955)
INFO:Training.base_trainer:Epoch 410 | Train Loss: 6.14328289 | Val Loss: 6.01883507 | (Val P_bh MSE: 2.535064)
INFO:Training.base_trainer:Epoch 420 | Train Loss: 6.02252102 | Val Loss: 5.90200424 | (Val P_bh MSE: 2.492696)
INFO:Training.base_trainer:Epoch 430 | Train Loss: 5.90963840 | Val Loss: 5.79327106 | (Val P_bh MSE: 2.453268)
INFO:Training.base_trainer:Epoch 440 | Train Loss: 5.80414772 | Val Loss: 5.69194984 | (Val P_bh MSE: 2.416485)
INFO:Training.base_trainer:Epoch 450 | Train Loss: 5.70545435 | Val Loss: 5.59733009 | (Val P_bh MSE: 2.382125)
INFO:Training.base_trainer:Epoch 460 | Train Loss: 5.61288500 | Val Loss: 5.50867653 | (Val P_bh MSE: 2.349977)
INFO:Training.base_trainer:Epoch 470 | Train Loss: 5.52574873 | Val Loss: 5.42528105 | (Val P_bh MSE: 2.319830)
INFO:Training.base_trainer:Epoch 480 | Train Loss: 5.44339371 | Val Loss: 5.34649372 | (Val P_bh MSE: 2.291483)
INFO:Training.base_trainer:Epoch 490 | Train Loss: 5.36523008 | Val Loss: 5.27173233 | (Val P_bh MSE: 2.264745)
INFO:Training.base_trainer:Epoch 500 | Train Loss: 5.29074097 | Val Loss: 5.20188665 | (Val P_bh MSE: 2.239928)
INFO:Training.base_trainer:Epoch 510 | Train Loss: 5.23352480 | Val Loss: 5.14711285 | (Val P_bh MSE: 2.220584)
INFO:Training.base_trainer:Epoch 520 | Train Loss: 5.17811728 | Val Loss: 5.09404469 | (Val P_bh MSE: 2.201935)
INFO:Training.base_trainer:Epoch 530 | Train Loss: 5.12426949 | Val Loss: 5.04245424 | (Val P_bh MSE: 2.183882)
INFO:Training.base_trainer:Epoch 540 | Train Loss: 5.07181597 | Val Loss: 4.99217987 | (Val P_bh MSE: 2.166346)
INFO:Training.base_trainer:Epoch 550 | Train Loss: 5.02062082 | Val Loss: 4.94309568 | (Val P_bh MSE: 2.149253)
INFO:Training.base_trainer:Epoch 560 | Train Loss: 4.97056913 | Val Loss: 4.89508963 | (Val P_bh MSE: 2.132534)
INFO:Training.base_trainer:Epoch 570 | Train Loss: 4.92155361 | Val Loss: 4.84805727 | (Val P_bh MSE: 2.116127)
INFO:Training.base_trainer:Epoch 580 | Train Loss: 4.87347555 | Val Loss: 4.80190420 | (Val P_bh MSE: 2.099974)
INFO:Training.base_trainer:Epoch 590 | Train Loss: 4.82624102 | Val Loss: 4.75654364 | (Val P_bh MSE: 2.084027)
INFO:Training.base_trainer:Epoch 600 | Train Loss: 4.77976370 | Val Loss: 4.71189356 | (Val P_bh MSE: 2.068239)
INFO:Training.base_trainer:Epoch 610 | Train Loss: 4.73396397 | Val Loss: 4.66787815 | (Val P_bh MSE: 2.052575)
INFO:Training.base_trainer:Epoch 620 | Train Loss: 4.68876362 | Val Loss: 4.62442493 | (Val P_bh MSE: 2.037004)
INFO:Training.base_trainer:Epoch 630 | Train Loss: 4.64409351 | Val Loss: 4.58146763 | (Val P_bh MSE: 2.021504)
INFO:Training.base_trainer:Epoch 640 | Train Loss: 4.59988689 | Val Loss: 4.53894281 | (Val P_bh MSE: 2.006057)
INFO:Training.base_trainer:Epoch 650 | Train Loss: 4.55608130 | Val Loss: 4.49679041 | (Val P_bh MSE: 1.990652)
INFO:Training.base_trainer:Epoch 660 | Train Loss: 4.51261902 | Val Loss: 4.45495415 | (Val P_bh MSE: 1.975283)
INFO:Training.base_trainer:Epoch 670 | Train Loss: 4.46944523 | Val Loss: 4.41337872 | (Val P_bh MSE: 1.959947)
INFO:Training.base_trainer:Epoch 680 | Train Loss: 4.42650557 | Val Loss: 4.37201071 | (Val P_bh MSE: 1.944642)
INFO:Training.base_trainer:Epoch 690 | Train Loss: 4.38375187 | Val Loss: 4.33079910 | (Val P_bh MSE: 1.929370)
INFO:Training.base_trainer:Epoch 700 | Train Loss: 4.34113503 | Val Loss: 4.28969002 | (Val P_bh MSE: 1.914130)
INFO:Training.base_trainer:Epoch 710 | Train Loss: 4.29860783 | Val Loss: 4.24863195 | (Val P_bh MSE: 1.898920)
INFO:Training.base_trainer:Epoch 720 | Train Loss: 4.25612450 | Val Loss: 4.20757198 | (Val P_bh MSE: 1.883733)
INFO:Training.base_trainer:Epoch 730 | Train Loss: 4.21363783 | Val Loss: 4.16645527 | (Val P_bh MSE: 1.868560)
INFO:Training.base_trainer:Epoch 740 | Train Loss: 4.17110157 | Val Loss: 4.12522745 | (Val P_bh MSE: 1.853388)
INFO:Training.base_trainer:Epoch 750 | Train Loss: 4.12846661 | Val Loss: 4.08383036 | (Val P_bh MSE: 1.838196)
INFO:Training.base_trainer:Epoch 760 | Train Loss: 4.08568430 | Val Loss: 4.04220438 | (Val P_bh MSE: 1.822959)
INFO:Training.base_trainer:Epoch 770 | Train Loss: 4.04270077 | Val Loss: 4.00028896 | (Val P_bh MSE: 1.807649)
INFO:Training.base_trainer:Epoch 780 | Train Loss: 3.99946260 | Val Loss: 3.95801878 | (Val P_bh MSE: 1.792231)
INFO:Training.base_trainer:Epoch 790 | Train Loss: 3.95590758 | Val Loss: 3.91532755 | (Val P_bh MSE: 1.776669)
INFO:Training.base_trainer:Epoch 800 | Train Loss: 3.91196966 | Val Loss: 3.87214327 | (Val P_bh MSE: 1.760924)
INFO:Training.base_trainer:Epoch 810 | Train Loss: 3.86757541 | Val Loss: 3.82838941 | (Val P_bh MSE: 1.744956)
INFO:Training.base_trainer:Epoch 820 | Train Loss: 3.82264161 | Val Loss: 3.78398395 | (Val P_bh MSE: 1.728723)
INFO:Training.base_trainer:Epoch 830 | Train Loss: 3.77707410 | Val Loss: 3.73883605 | (Val P_bh MSE: 1.712187)
INFO:Training.base_trainer:Epoch 840 | Train Loss: 3.73076630 | Val Loss: 3.69284415 | (Val P_bh MSE: 1.695307)
INFO:Training.base_trainer:Epoch 850 | Train Loss: 3.68359447 | Val Loss: 3.64589620 | (Val P_bh MSE: 1.678044)
INFO:Training.base_trainer:Epoch 860 | Train Loss: 3.63542032 | Val Loss: 3.59786344 | (Val P_bh MSE: 1.660358)
INFO:Training.base_trainer:Epoch 870 | Train Loss: 3.58608747 | Val Loss: 3.54860258 | (Val P_bh MSE: 1.642211)
INFO:Training.base_trainer:Epoch 880 | Train Loss: 3.53541589 | Val Loss: 3.49795008 | (Val P_bh MSE: 1.623562)
INFO:Training.base_trainer:Epoch 890 | Train Loss: 3.48320889 | Val Loss: 3.44572330 | (Val P_bh MSE: 1.604370)
INFO:Training.base_trainer:Epoch 900 | Train Loss: 3.42924571 | Val Loss: 3.39171767 | (Val P_bh MSE: 1.584593)
INFO:Training.base_trainer:Epoch 910 | Train Loss: 3.37328553 | Val Loss: 3.33570528 | (Val P_bh MSE: 1.564185)
INFO:Training.base_trainer:Epoch 920 | Train Loss: 3.31506562 | Val Loss: 3.27743912 | (Val P_bh MSE: 1.543100)
INFO:Training.base_trainer:Epoch 930 | Train Loss: 3.25430322 | Val Loss: 3.21664786 | (Val P_bh MSE: 1.521290)
INFO:Training.base_trainer:Epoch 940 | Train Loss: 3.19070053 | Val Loss: 3.15304685 | (Val P_bh MSE: 1.498707)
INFO:Training.base_trainer:Epoch 950 | Train Loss: 3.12395120 | Val Loss: 3.08633995 | (Val P_bh MSE: 1.475302)
INFO:Training.base_trainer:Epoch 960 | Train Loss: 3.05375028 | Val Loss: 3.01623535 | (Val P_bh MSE: 1.451028)
INFO:Training.base_trainer:Epoch 970 | Train Loss: 2.97981715 | Val Loss: 2.94246793 | (Val P_bh MSE: 1.425843)
INFO:Training.base_trainer:Epoch 980 | Train Loss: 2.90192366 | Val Loss: 2.86483002 | (Val P_bh MSE: 1.399712)
INFO:Training.base_trainer:Epoch 990 | Train Loss: 2.81994247 | Val Loss: 2.78322029 | (Val P_bh MSE: 1.372610)
INFO:Training.base_trainer:Epoch 1000 | Train Loss: 2.73390532 | Val Loss: 2.69945574 | (Val P_bh MSE: 1.345101)
INFO:Training.base_trainer:Epoch 1010 | Train Loss: 2.66217375 | Val Loss: 2.62833905 | (Val P_bh MSE: 1.321903)
INFO:Training.base_trainer:Epoch 1020 | Train Loss: 2.58809495 | Val Loss: 2.55502558 | (Val P_bh MSE: 1.298060)
INFO:Training.base_trainer:Epoch 1030 | Train Loss: 2.51220870 | Val Loss: 2.48009992 | (Val P_bh MSE: 1.273609)
INFO:Training.base_trainer:Epoch 1040 | Train Loss: 2.43520117 | Val Loss: 2.40428472 | (Val P_bh MSE: 1.248614)
INFO:Training.base_trainer:Epoch 1050 | Train Loss: 2.35793662 | Val Loss: 2.32847142 | (Val P_bh MSE: 1.223165)
INFO:Training.base_trainer:Epoch 1060 | Train Loss: 2.28143525 | Val Loss: 2.25371218 | (Val P_bh MSE: 1.197363)
INFO:Training.base_trainer:Epoch 1070 | Train Loss: 2.20681310 | Val Loss: 2.18112659 | (Val P_bh MSE: 1.171331)
INFO:Training.base_trainer:Epoch 1080 | Train Loss: 2.13517952 | Val Loss: 2.11181092 | (Val P_bh MSE: 1.145194)
INFO:Training.base_trainer:Epoch 1090 | Train Loss: 2.06751490 | Val Loss: 2.04670262 | (Val P_bh MSE: 1.119076)
INFO:Training.base_trainer:Epoch 1100 | Train Loss: 2.00455236 | Val Loss: 1.98646879 | (Val P_bh MSE: 1.093090)
INFO:Training.base_trainer:Epoch 1110 | Train Loss: 1.94669485 | Val Loss: 1.93143010 | (Val P_bh MSE: 1.067336)
INFO:Training.base_trainer:Epoch 1120 | Train Loss: 1.89399350 | Val Loss: 1.88155007 | (Val P_bh MSE: 1.041892)
INFO:Training.base_trainer:Epoch 1130 | Train Loss: 1.84618878 | Val Loss: 1.83648908 | (Val P_bh MSE: 1.016825)
INFO:Training.base_trainer:Epoch 1140 | Train Loss: 1.80280077 | Val Loss: 1.79570198 | (Val P_bh MSE: 0.992187)
INFO:Training.base_trainer:Epoch 1150 | Train Loss: 1.76323712 | Val Loss: 1.75855315 | (Val P_bh MSE: 0.968024)
INFO:Training.base_trainer:Epoch 1160 | Train Loss: 1.72688973 | Val Loss: 1.72441280 | (Val P_bh MSE: 0.944372)
INFO:Training.base_trainer:Epoch 1170 | Train Loss: 1.69320047 | Val Loss: 1.69271827 | (Val P_bh MSE: 0.921260)
INFO:Training.base_trainer:Epoch 1180 | Train Loss: 1.66169441 | Val Loss: 1.66300392 | (Val P_bh MSE: 0.898708)
INFO:Training.base_trainer:Epoch 1190 | Train Loss: 1.63198662 | Val Loss: 1.63490152 | (Val P_bh MSE: 0.876726)
INFO:Training.base_trainer:Epoch 1200 | Train Loss: 1.60377479 | Val Loss: 1.60813034 | (Val P_bh MSE: 0.855318)
INFO:Training.base_trainer:Epoch 1210 | Train Loss: 1.57682526 | Val Loss: 1.58247924 | (Val P_bh MSE: 0.834483)
INFO:Training.base_trainer:Epoch 1220 | Train Loss: 1.55096185 | Val Loss: 1.55779266 | (Val P_bh MSE: 0.814215)
INFO:Training.base_trainer:Epoch 1230 | Train Loss: 1.52605343 | Val Loss: 1.53395677 | (Val P_bh MSE: 0.794506)
INFO:Training.base_trainer:Epoch 1240 | Train Loss: 1.50200534 | Val Loss: 1.51089203 | (Val P_bh MSE: 0.775349)
INFO:Training.base_trainer:Epoch 1250 | Train Loss: 1.47875154 | Val Loss: 1.48854423 | (Val P_bh MSE: 0.756733)
INFO:Training.base_trainer:Epoch 1260 | Train Loss: 1.45624876 | Val Loss: 1.46687829 | (Val P_bh MSE: 0.738651)
INFO:Training.base_trainer:Epoch 1270 | Train Loss: 1.43446958 | Val Loss: 1.44587469 | (Val P_bh MSE: 0.721092)
INFO:Training.base_trainer:Epoch 1280 | Train Loss: 1.41339850 | Val Loss: 1.42552483 | (Val P_bh MSE: 0.704046)
